source;fr;fr_dbta;en;en_dbta;pt;pt_dbta;es;es_dbta
sub_sectors.pharmacy_assistant_pharmacy_salesperson;Auxiliaire de pharmacie / vendeur en pharmacie;Auxiliaire de pharmacie / vendeur en pharmacie;Pharmacy assistant/pharmacy salesperson;Pharmacy assistant/pharmacy salesperson;Auxiliar de farmácia/vendedor de farmácia;Auxiliar de farmácia/vendedor de farmácia;Auxiliar de farmacia/vendedor de farmacia;Auxiliar de farmacia/vendedor de farmacia
sub_sectors.medical_secretary;Secrétariat médical;Secrétariat médical;Medical secretary;Medical secretary;Secretária médica;Secretária médica;Secretario médico;Secretario médico
sub_sectors.driving_school;Auto-école;Auto-école;Driving school;Driving school;Escola de condução;Escola de condução;Autoescuela;Autoescuela
sub_sectors.bilingual_office_secretarial_services;Secrétariat bureautique bilingue;Secrétariat bureautique bilingue;Bilingual office secretarial services;Bilingual office secretarial services;Serviços de secretariado de escritório bilíngue;Serviços de secretariado de escritório bilíngue;Servicios de secretaría de oficina bilingüe.;Servicios de secretaría de oficina bilingüe.
sub_sectors.office_secretarial_and_accounting_assistance;Secrétariat bureautique et aide comptable;Secrétariat bureautique et aide comptable;Office secretarial and accounting assistance;Office secretarial and accounting assistance;Assessoria de secretariado e contabilidade;Assessoria de secretariado e contabilidade;Secretariado de oficina y asistencia contable.;Secretariado de oficina y asistencia contable.
sub_sectors.computerized_accounting_and_management;Comptabilité informatisée et gestion;Comptabilité informatisée et gestion;Computerized accounting and management;Computerized accounting and management;Contabilidade e gestão informatizada;Contabilidade e gestão informatizada;Contabilidad y gestión informatizada;Contabilidad y gestión informatizada
sub_sectors.production_graphics;Graphisme de production;Graphisme de production;Production graphics;Production graphics;Gráficos de produção;Gráficos de produção;gráficos de producción;gráficos de producción
sub_sectors.commercial_and_marketing_action;Action commerciale et marketing;Action commerciale et marketing;Commercial and marketing action;Commercial and marketing action;Ação comercial e de marketing;Ação comercial e de marketing;Acción comercial y de marketing;Acción comercial y de marketing
sub_sectors.taxation;Fiscalité;Fiscalité;Taxation;Taxation;Tributação;Tributação;Impuestos;Impuestos
sub_sectors.maintenance_of_copiers;Maintenance des copieurs;Maintenance des copieurs;Maintenance of copiers;Maintenance of copiers;Manutenção de copiadoras;Manutenção de copiadoras;mantenimiento de fotocopiadoras;mantenimiento de fotocopiadoras
sub_sectors.maintenance_of_mobile_equipment;Maintenance des équipements mobiles;Maintenance des équipements mobiles;Maintenance of mobile equipment;Maintenance of mobile equipment;Manutenção de equipamentos móveis;Manutenção de equipamentos móveis;Mantenimiento de equipos móviles.;Mantenimiento de equipos móviles.
sub_sectors.networks_and_telecom;Réseaux et télécom;Réseaux et télécom;Networks and telecom;Networks and telecom;Redes e telecomunicações;Redes e telecomunicações;Redes y telecomunicaciones.;Redes y telecomunicaciones.
sub_sectors.audio_visual_editing;Montage audio-visuel;Montage audio-visuel;Audio-visual editing;Audio-visual editing;Edição audiovisual;Edição audiovisual;Edición audiovisual;Edición audiovisual
sub_sectors.driving_machines_and_using_hitches;Conduite d'engins et utilisation des attelages;Conduite d'engins et utilisation des attelages;Driving machines and using hitches;Driving machines and using hitches;Condução de máquinas e utilização de engates;Condução de máquinas e utilização de engates;Conducir máquinas y utilizar enganches.;Conducir máquinas y utilizar enganches.
sub_sectors.food_crops;Cultures vivrières;Cultures vivrières;Food crops;Food crops;Culturas alimentares;Culturas alimentares;Cultivos alimenticios;Cultivos alimenticios
sub_sectors.big_cultures;Grandes cultures;Grandes cultures;Big cultures;Big cultures;Grandes culturas;Grandes culturas;Grandes culturas;Grandes culturas
sub_sectors.plants_and_seeds;Plants et semences;Plants et semences;Plants and seeds;Plants and seeds;Plantas e sementes;Plantas e sementes;Plantas y semillas;Plantas y semillas
sub_sectors.autocad;AUTOCAD;AUTOCAD;AUTOCAD;AUTOCAD;AUTOCAD;AUTOCAD;AUTOCAD;AUTOCAD
sub_sectors.solid_works;SOLID WORKS;SOLID WORKS;SOLID WORKS;SOLID WORKS;OBRAS SÓLIDAS;OBRAS SÓLIDAS;TRABAJO SOLIDO;TRABAJO SOLIDO
sub_sectors.infographics;Infographie;Infographie;Infographics;Infographics;Infográficos;Infográficos;Infografías;Infografías
sub_sectors.applied_statistics;Statistiques appliquées;Statistiques appliquées;Applied statistics;Applied statistics;Estatísticas aplicadas;Estatísticas aplicadas;Estadísticas aplicadas;Estadísticas aplicadas
sub_sectors.information_and_communication_technology;Technologie de l'information et de la communication;Technologie de l'information et de la communication;Information and communication technology;Information and communication technology;Tecnologia da informação e Comunicação;Tecnologia da informação e Comunicação;Tecnología de la información y la comunicación;Tecnología de la información y la comunicación
sub_sectors.equipment_electricity;Electricité d'Equipement;Electricité d'Equipement;Equipment Electricity;Equipment Electricity;Eletricidade de Equipamentos;Eletricidade de Equipamentos;Equipo Electricidad;Equipo Electricidad
sub_sectors.mining_operator;Opérateur Minier;Opérateur Minier;Mining Operator;Mining Operator;Operador de Mineração;Operador de Mineração;Operador Minero;Operador Minero
sub_sectors.building_painting;Peinture bâtiment;Peinture bâtiment;Building painting;Building painting;Pintura de edifícios;Pintura de edifícios;pintura de edificios;pintura de edificios
sub_sectors.general_mechanic;Mécanique générale;Mécanique générale;General mechanic;General mechanic;Mecânico geral;Mecânico geral;mecanico general;mecanico general
sub_sectors.works_manager;Conducteur de travaux;Conducteur de travaux;Works manager;Works manager;Gerente de obras;Gerente de obras;Capataz;Capataz
sub_sectors.chemist_help;Aide chimiste;Aide chimiste;Chemist help;Chemist help;Ajuda química;Ajuda química;ayuda quimica;ayuda quimica
sub_sectors.care_assistant;Auxiliaire de vie;Auxiliaire de vie;Care assistant;Care assistant;Assistente de cuidados;Assistente de cuidados;Asistente de cuidado;Asistente de cuidado
sub_sectors.paramedic;Ambulancier;Ambulancier;Paramedic;Paramedic;Paramédico;Paramédico;Paramédico;Paramédico
sub_sectors.first_aid;Secourisme;Secourisme;First aid;First aid;Primeiro socorro;Primeiro socorro;Primeros auxilios;Primeros auxilios
sub_sectors.laboratory_technical_agent;Agent technique de laboratoire;Agent technique de laboratoire;Laboratory technical agent;Laboratory technical agent;Agente técnico de laboratório;Agente técnico de laboratório;Agente técnico de laboratorio.;Agente técnico de laboratorio.
sub_sectors.massage_therapy;Massothérapie;Massothérapie;Massage therapy;Massage therapy;Massoterapia;Massoterapia;Terapia de Masajes;Terapia de Masajes
sub_sectors.radiology_assistant;Assistant en radiologie;Assistant en radiologie;Radiology assistant;Radiology assistant;Assistente de radiologia;Assistente de radiologia;asistente de radiología;asistente de radiología
sub_sectors.assistant_laboratory_technician;Technicien adjoint de laboratoire;Technicien adjoint de laboratoire;Assistant laboratory technician;Assistant laboratory technician;Técnico assistente de laboratório;Técnico assistente de laboratório;tecnico asistente de laboratorio;tecnico asistente de laboratorio
sub_sectors.maintenance_of_biomedical_devices;Maintenance des appareils biomédicaux;Maintenance des appareils biomédicaux;Maintenance of biomedical devices;Maintenance of biomedical devices;Manutenção de dispositivos biomédicos;Manutenção de dispositivos biomédicos;Mantenimiento de dispositivos biomédicos.;Mantenimiento de dispositivos biomédicos.
sub_sectors.renewable_energy;Energie renouvelable;Energie renouvelable;renewable energy;renewable energy;energia renovável;energia renovável;energía renovable;energía renovable
sub_sectors.preparer;Préparateur;Préparateur;Preparer;Preparer;Preparador;Preparador;Preparador;Preparador
sub_sectors.non_destructive_testing;Contrôle non destructif;Contrôle non destructif;Non-destructive testing;Non-destructive testing;Teste não destrutivo;Teste não destrutivo;Control no destructivo;Control no destructivo
sub_sectors.supervisor;Superviseur;Superviseur;Supervisor;Supervisor;Supervisor;Supervisor;Supervisor;Supervisor
sub_sectors.designer;Concepteur;Concepteur;Designer;Designer;Designer;Designer;Diseñador;Diseñador
sub_sectors.producer;Producteur;Producteur;Producer;Producer;Produtor;Produtor;Productor;Productor
sub_sectors.refining_and_distribution;Raffinage et distribution;Raffinage et distribution;Refining and distribution;Refining and distribution;Refino e distribuição;Refino e distribuição;Refinación y distribución;Refinación y distribución
sub_sectors.electricity_and_instrumentation;Electricité et instrumentation;Electricité et instrumentation;Electricity and instrumentation;Electricity and instrumentation;Eletricidade e instrumentação;Eletricidade e instrumentação;Electricidad e instrumentación.;Electricidad e instrumentación.
sub_sectors.industrial_operator;Opérateur industriel;Opérateur industriel;Industrial operator;Industrial operator;Operador industrial;Operador industrial;Operador industrial;Operador industrial
sub_sectors.software_operator;Opérateur logiciel;Opérateur logiciel;Software operator;Software operator;Operador de software;Operador de software;Operador de software;Operador de software
sub_sectors.computer_assisted_drawing;Dessin assisté par ordinateur;Dessin assisté par ordinateur;Computer Assisted drawing;Computer Assisted drawing;Desenho assistido por computador;Desenho assistido por computador;Dibujo asistido por computadora;Dibujo asistido por computadora
sub_sectors.digital_marketing;Digital marketing;Digital marketing;Digital marketing;Digital marketing;Marketing digital;Marketing digital;Publicidad digital;Publicidad digital
sub_sectors.project_management;Management de projets;Management de projets;Project management;Project management;Gerenciamento de projetos;Gerenciamento de projetos;Gestión de proyectos;Gestión de proyectos
sub_sectors.human_resource_management;Gestion des ressources humaines;Gestion des ressources humaines;Human Resource Management;Human Resource Management;Gestão de Recursos Humanos;Gestão de Recursos Humanos;Gestión de recursos humanos;Gestión de recursos humanos
sub_sectors.company_advice;Conseil d'entreprise;Conseil d'entreprise;company advice;company advice;aconselhamento de empresa;aconselhamento de empresa;asesoramiento de empresa;asesoramiento de empresa
sub_sectors.management;Management;Management;Management;Management;Gerenciamento;Gerenciamento;Gestión;Gestión
sub_sectors.budget_management;Gestion budgétaire;Gestion budgétaire;Budget management;Budget management;Administração de orçamento;Administração de orçamento;Administración de presupuesto;Administración de presupuesto
sub_sectors.banking_and_microfinance;Banque et microfinance;Banque et microfinance;Banking and microfinance;Banking and microfinance;Banca e microfinanças;Banca e microfinanças;Banca y microfinanzas;Banca y microfinanzas
sub_sectors.financial_analysis;Analyse financière;Analyse financière;Financial analysis;Financial analysis;Analise financeira;Analise financeira;Análisis financiero;Análisis financiero
sub_sectors.advice_and_sale_of_cosmetic_products;Conseils et vente de produits cosmétiques;Conseils et vente de produits cosmétiques;Advice and sale of cosmetic products;Advice and sale of cosmetic products;Assessoria e venda de produtos cosméticos;Assessoria e venda de produtos cosméticos;Asesoramiento y venta de productos cosméticos.;Asesoramiento y venta de productos cosméticos.
sub_sectors.mechanics_of_motorcycles_and_small_engines;Mécanique des motocycles et petits moteurs;Mécanique des motocycles et petits moteurs;Mechanics of motorcycles and small engines;Mechanics of motorcycles and small engines;Mecânica de motocicletas e pequenos motores;Mecânica de motocicletas e pequenos motores;Mecánica de motos y motores pequeños.;Mecánica de motos y motores pequeños.
sub_sectors.agro_pastoral;Agro-pastoral;Agro-pastoral;Agro-pastoral;Agro-pastoral;Agro-pastoril;Agro-pastoril;Agropastoral;Agropastoral
sub_sectors.agri_food;Agroalimentaire;Agroalimentaire;Agri-food;Agri-food;Agroalimentar;Agroalimentar;Agroalimentario;Agroalimentario
sub_sectors.vegetable_production;production végétale ;production végétale ;vegetable production;vegetable production;produção vegetal;produção vegetal;producción de hortalizas;producción de hortalizas
sub_sectors.animal_production;production animale ;production animale ;animal production;animal production;produção animal;produção animal;producción animal;producción animal
sub_sectors.nutrition_and_food_technology;nutrition et technologie alimentaire ;nutrition et technologie alimentaire ;nutrition and food technology;nutrition and food technology;nutrição e tecnologia alimentar;nutrição e tecnologia alimentar;nutrición y tecnología de los alimentos;nutrición y tecnología de los alimentos
sub_sectors.rural_development_and_equipment;aménagement et équipement rural ;aménagement et équipement rural ;rural development and equipment;rural development and equipment;desenvolvimento rural e equipamentos;desenvolvimento rural e equipamentos;desarrollo rural y equipamiento;desarrollo rural y equipamiento
sub_sectors.forestry;foresterie ;foresterie ;forestry;forestry;silvicultura;silvicultura;silvicultura;silvicultura
sub_sectors.aquaculture_and_fishing;aquaculture et pêche;aquaculture et pêche;aquaculture and fishing;aquaculture and fishing;aquicultura e pesca;aquicultura e pesca;acuicultura y pesca;acuicultura y pesca
sub_sectors.automotive_and_motorcycle_electricity;electricité automobile et moto;electricité automobile et moto;automobile and motorcycle electricity;automobile and motorcycle electricity;eletricidade para automóveis e motocicletas;eletricidade para automóveis e motocicletas;electricidad para automóviles y motocicletas;electricidad para automóviles y motocicletas
sub_sectors.foundry;fonderie;fonderie;foundry;foundry;fundição;fundição;fundición;fundición
;;;;;;;;
;** Countries ***;;;;;;;
country.afghanistan;Afghanistan;Afghanistan ;Afghanistan;Afghanistan;Afeganistão;Afeganistão;Afganistán;Afganistán
country.south_africa;Afrique du Sud;Afrique du Sud;South Africa;South Africa;África do Sul;África do Sul;Africa del Sur;Africa del Sur
country.albania;Albanie;Albanie;Albania;Albania;Albânia;Albânia;Albania;Albania
country.algeria;Algérie;Algérie;Algeria;Algeria;Argélia;Argélia;Argelia;Argelia
country.germany;Allemagne;Allemagne;Germany;Germany;Alemanha;Alemanha;Alemania;Alemania
country.andorra;Andorre;Andorre;Andorra;Andorra;Andorra;Andorra;Andorra;Andorra
country.angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola
country.anguilla;Anguilla;Anguilla;Anguilla;Anguilla;Anguila;Anguila;Anguila;Anguila
country.antigua_and_barbuda;Antigua-et-Barbuda;Antigua-et-Barbuda;Antigua and Barbuda;Antigua and Barbuda;Antígua e Barbuda;Antígua e Barbuda;Antigua y Barbuda;Antigua y Barbuda
country.netherlands_antilles;Antilles Néerlandaises;Antilles Néerlandaises;Netherlands Antilles;Netherlands Antilles;Antilhas Holandesas;Antilhas Holandesas;Antillas Holandesas;Antillas Holandesas
country.saudi_arabia;Arabie Saoudite;Arabie Saoudite;Saudi Arabia;Saudi Arabia;Arábia Saudita;Arábia Saudita;Arabia Saudita;Arabia Saudita
country.argentine;argentin;argentin;Argentine;Argentine;Argentino;Argentino;Argentino;Argentino
country.armenia;Arménie;Arménie;Armenia;Armenia;Armênia;Armênia;Armenia;Armenia
country.aruba;Aruba;Aruba;Aruba;Aruba;Aruba;Aruba;Aruba;Aruba
country.australia;Australie;Australie;Australia;Australia;Austrália;Austrália;Australia;Australia
country.austria;Autriche;Autriche;Austria;Austria;Áustria;Áustria;Austria;Austria
country.azerbaijan;Azerbaïdjan;Azerbaïdjan;Azerbaijan;Azerbaijan;Azerbaijão;Azerbaijão;Azerbaiyán;Azerbaiyán
country.bahamas;Bahamas;Bahamas;Bahamas;Bahamas;Bahamas;Bahamas;bahamas;bahamas
country.bahrain;Bahreïn;Bahreïn;Bahrain;Bahrain;Bahrein;Bahrein;Bahréin;Bahréin
country.bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh;Bangladesh
country.barbados;Barbade;Barbade;Barbados;Barbados;Barbados;Barbados;Barbados;Barbados
country.belgium;Belgique;Belgique;Belgium;Belgium;Bélgica;Bélgica;Bélgica;Bélgica
country.belize;Bélize;Bélize;Belize;Belize;Belize;Belize;Belice;Belice
country.benign;Bénin;Bénin;Benign;Benign;Benigno;Benigno;Benigno;Benigno
country.bermuda;Bermudes;Bermudes;Bermuda;Bermuda;Bermudas;Bermudas;islas Bermudas;islas Bermudas
country.bhutan;Bhoutan;Bhoutan;Bhutan;Bhutan;Butão;Butão;Bután;Bután
country.belarus;Biélorussie;Biélorussie;Belarus;Belarus;Bielorrússia;Bielorrússia;Bielorrusia;Bielorrusia
country.burma_myanmar;Birmanie (Myanmar);Birmanie (Myanmar);Burma (Myanmar);Burma (Myanmar);Birmânia (Mianmar);Birmânia (Mianmar);Birmania (Myanmar);Birmania (Myanmar)
country.bolivia;Bolivie;Bolivie;Bolivia;Bolivia;Bolívia;Bolívia;bolivia;bolivia
country.bosnia_and_herzegovina;Bosnie-Herzégovine;Bosnie-Herzégovine;Bosnia and Herzegovina;Bosnia and Herzegovina;Bósnia e Herzegovina;Bósnia e Herzegovina;Bosnia y Herzegovina;Bosnia y Herzegovina
country.botswana;Botswana;Botswana;Botswana;Botswana;Botsuana;Botsuana;Botsuana;Botsuana
country.brazil;Brésil;Brésil;Brazil;Brazil;Brasil;Brasil;Brasil;Brasil
country.brunei;Brunéi;Brunéi;Brunei;Brunei;Brunei;Brunei;Brunéi;Brunéi
country.bulgaria;Bulgarie;Bulgarie;Bulgaria;Bulgaria;Bulgária;Bulgária;Bulgaria;Bulgaria
country.burkina_faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso
country.burundi;Burundi;Burundi;Burundi;Burundi;Burundi;Burundi;Burundi;Burundi
country.cambodia;Cambodge;Cambodge;Cambodia;Cambodia;Camboja;Camboja;Camboya;Camboya
country.cameroon;Cameroun;Cameroun;Cameroon;Cameroon;Camarões;Camarões;Camerún;Camerún
country.canada;Canada;Canada;Canada;Canada;Canadá;Canadá;Canadá;Canadá
country.green_cap;Cap Vert;Cap Vert;green cap;green cap;boné verde;boné verde;cabo Verde;cabo Verde
country.chili;le Chili;le Chili;Chili;Chili;Pimenta;Pimenta;Chile;Chile
country.spine;Échine;Échine;Spine;Spine;Coluna;Coluna;Columna vertebral;Columna vertebral
country.cyprus;Chypré;Chypré;Cyprus;Cyprus;Chipre;Chipre;Chipre;Chipre
country.colombia;Colombie;Colombie;Colombia;Colombia;Colômbia;Colômbia;Colombia;Colombia
country.comoros;Comores;Comores;Comoros;Comoros;Comores;Comores;Comoras;Comoras
country.north_korea;Corée du Nord;Corée du Nord;North Korea;North Korea;Coréia do Norte;Coréia do Norte;Corea del Norte;Corea del Norte
country.south_korea;Corée du Sud;Corée du Sud;South Korea;South Korea;Coreia do Sul;Coreia do Sul;Corea del Sur;Corea del Sur
country.costa_rica;Costa Rica;Costa Rica;Costa Rica;Costa Rica;Costa Rica;Costa Rica;Costa Rica;Costa Rica
country.ivory_coast;Côte d'Ivoire;Côte d'Ivoire;Ivory Coast;Ivory Coast;Costa do Marfim;Costa do Marfim;Costa de Marfil;Costa de Marfil
country.croatia;Croatie;Croatie;Croatia;Croatia;Croácia;Croácia;Croacia;Croacia
country.cuba;Cuba;Cuba;Cuba;Cuba;Cuba;Cuba;Cuba;Cuba
country.denmark;Danemark;Danemark;Denmark;Denmark;Dinamarca;Dinamarca;Dinamarca;Dinamarca
country.djibouti;Djibouti;Djibouti;Djibouti;Djibouti;Djibuti;Djibuti;Yibuti;Yibuti
country.dominic;Dominique;Dominique;Dominic;Dominic;Domingos;Domingos;dominical;dominical
country.egypt;Egypte;Egypte;Egypt;Egypt;Egito;Egito;Egipto;Egipto
country.united_arab_emirates;Émirats Arabes Unis;Émirats Arabes Unis;United Arab Emirates;United Arab Emirates;Emirados Árabes Unidos;Emirados Árabes Unidos;Emiratos Árabes Unidos;Emiratos Árabes Unidos
country.ecuador;Équateur;Équateur;Ecuador;Ecuador;Equador;Equador;Ecuador;Ecuador
country.eritrea;Érythrée;Érythrée;Eritrea;Eritrea;Eritreia;Eritreia;Eritrea;Eritrea
country.spain;Espagne;Espagne;Spain;Spain;Espanha;Espanha;España;España
country.estonia;Estonie;Estonie;Estonia;Estonia;Estônia;Estônia;Estonia;Estonia
country.eswatini;Eswatini;Eswatini;Eswatini;Eswatini;Essuatíni;Essuatíni;Esuatini;Esuatini
country.federated_states_of_micronesia;Etats Fédérés de Micronésie;Etats Fédérés de Micronésie;Federated States of Micronesia;Federated States of Micronesia;Estados Federados da Micronésia;Estados Federados da Micronésia;Estados Federados de Micronesia;Estados Federados de Micronesia
country.united_states;Etats-Unis;Etats-Unis;UNITED STATES;UNITED STATES;ESTADOS UNIDOS;ESTADOS UNIDOS;Estados Unidos;Estados Unidos
country.ethiopia;Éthiopie;Éthiopie;Ethiopia;Ethiopia;Etiópia;Etiópia;Etiopía;Etiopía
country.fiji;Fidji;Fidji;Fiji;Fiji;Fiji;Fiji;Fiyi;Fiyi
country.finland;Finlande;Finlande;Finland;Finland;Finlândia;Finlândia;Finlandia;Finlandia
country.france;France;France;France;France;França;França;Francia;Francia
country.gabon;Gabon;Gabon;Gabon;Gabon;Gabão;Gabão;Gabón;Gabón
country.gambia;Gambie;Gambie;Gambia;Gambia;Gâmbia;Gâmbia;Gambia;Gambia
country.georgia;Géorgie;Géorgie;Georgia;Georgia;Geórgia;Geórgia;Georgia;Georgia
country.south_georgia_and_the_south_sandwich_islands;Géorgie du Sud et les Îles Sandwich du Sud;Géorgie du Sud et les Îles Sandwich du Sud;South Georgia and the South Sandwich Islands;South Georgia and the South Sandwich Islands;Geórgia do Sul e Ilhas Sandwich do Sul;Geórgia do Sul e Ilhas Sandwich do Sul;Georgia del sur y las islas Sandwich del sur;Georgia del sur y las islas Sandwich del sur
country.ghana;Ghana;Ghana;Ghana;Ghana;Gana;Gana;Ghana;Ghana
country.gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar
country.greece;Grèce;Grèce;Greece;Greece;Grécia;Grécia;Grecia;Grecia
country.grenade;Grenade;Grenade;Grenade;Grenade;Granada;Granada;Granada;Granada
country.greenland;Groenland;Groenland;Greenland;Greenland;Groenlândia;Groenlândia;Groenlandia;Groenlandia
country.guadeloupe;Guadeloupe;Guadeloupe;Guadeloupe;Guadeloupe;Guadalupe;Guadalupe;Guadalupe;Guadalupe
country.guam;Guam;Guam;Guam;Guam;Guam;Guam;Guam;Guam
country.guatemala;Guatemala;Guatemala;Guatemala;Guatemala;Guatemala;Guatemala;Guatemala;Guatemala
country.guinea;Guinée;Guinée;Guinea;Guinea;Guiné;Guiné;Guinea;Guinea
country.equatorial_guinea;Guinée équatoriale;Guinée équatoriale;Equatorial Guinea;Equatorial Guinea;Guiné Equatorial;Guiné Equatorial;Guinea Ecuatorial;Guinea Ecuatorial
country.guinea-bissau;Guinée-Bissau;Guinée-Bissau;Guinea-Bissau;Guinea-Bissau;Guiné-Bissau;Guiné-Bissau;Guinea-Bisáu;Guinea-Bisáu
country.guyana;Guyane;Guyane;Guyana;Guyana;Guiana;Guiana;Guayana;Guayana
country.french_guiana;Guyane Française;Guyane Française;French Guiana;French Guiana;Guiana Francesa;Guiana Francesa;Guayana Francesa;Guayana Francesa
country.haiti;Haïti;Haïti;Haiti;Haiti;Haiti;Haiti;Haití;Haití
country.honduras;Honduras;Honduras;Honduras;Honduras;Honduras;Honduras;Honduras;Honduras
country.hong_kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong
country.hungary;Hongrie;Hongrie;Hungary;Hungary;Hungria;Hungria;Hungría;Hungría
country.isle_of_man;Île de Man;Île de Man;Isle of man;Isle of man;Ilha do homem;Ilha do homem;Isla del hombre;Isla del hombre
country.christmas_island;Île Noël;Île Noël;Christmas Island;Christmas Island;Ilha do Natal;Ilha do Natal;Isla de Navidad;Isla de Navidad
country.norfolk_island;Île Norfolk;Île Norfolk;Norfolk Island;Norfolk Island;Ilha Norfolk;Ilha Norfolk;Isla Norfolk;Isla Norfolk
country.åland_islands;Îles Åland;Îles Åland;Åland Islands;Åland Islands;Ilhas Aland;Ilhas Aland;Islas Aland;Islas Aland
country.cayman_islands;Îles Caïmans;Îles Caïmans;Cayman Islands;Cayman Islands;Ilhas Cayman;Ilhas Cayman;Islas Caimán;Islas Caimán
country.cocos_keeling_islands;Îles Cocos (Keeling);Îles Cocos (Keeling);Cocos (Keeling) Islands;Cocos (Keeling) Islands;Ilhas Cocos (Keeling);Ilhas Cocos (Keeling);Islas Cocos (Keeling);Islas Cocos (Keeling)
country.cook_islands;Îles Cook;Îles Cook;Cook Islands;Cook Islands;Ilhas Cook;Ilhas Cook;Islas Cook;Islas Cook
country.faroe_islands;Îles Féroé;Îles Féroé;Faroe Islands;Faroe Islands;ilhas Faroe;ilhas Faroe;Islas Faroe;Islas Faroe
country.falkland_islands;Îles Malouines;Îles Malouines;Falkland Islands;Falkland Islands;Ilhas Malvinas;Ilhas Malvinas;Islas Malvinas;Islas Malvinas
country.northern_mariana_islands;Îles Mariannes du Nord;Îles Mariannes du Nord;Northern Mariana Islands;Northern Mariana Islands;Ilhas Marianas do Norte;Ilhas Marianas do Norte;Islas Marianas del Norte;Islas Marianas del Norte
country.marshall_islands;Îles Marshall;Îles Marshall;Marshall Islands;Marshall Islands;Ilhas Marshall;Ilhas Marshall;Islas Marshall;Islas Marshall
country.pitcairn_islands;Îles Pitcairn;Îles Pitcairn;Pitcairn Islands;Pitcairn Islands;Ilhas Pitcairn;Ilhas Pitcairn;Islas Pitcairn;Islas Pitcairn
country.solomon_islands;Îles Salomon;Îles Salomon;Solomon Islands;Solomon Islands;Ilhas Salomão;Ilhas Salomão;Islas Salomón;Islas Salomón
country.turks_and_caicos_islands;Îles Turks et Caïques;Îles Turks et Caïques;Turks and Caicos Islands;Turks and Caicos Islands;Ilhas Turcas e Caicos;Ilhas Turcas e Caicos;Islas Turcas y Caicos;Islas Turcas y Caicos
country.united_states_virgin_islands;Îles Vierges des Etats-Unis;Îles Vierges des Etats-Unis;United States Virgin Islands;United States Virgin Islands;Ilhas Virgens dos Estados Unidos;Ilhas Virgens dos Estados Unidos;Islas Vírgenes de los Estados Unidos;Islas Vírgenes de los Estados Unidos
country.british_virgin_islands;Îles Vierges Britanniques;Îles Vierges Britanniques;British Virgin Islands;British Virgin Islands;Ilhas Virgens Britânicas;Ilhas Virgens Britânicas;Islas Vírgenes Británicas;Islas Vírgenes Británicas
country.india;Inde;Inde;India;India;Índia;Índia;India;India
country.indonesia;Indonésie;Indonésie;Indonesia;Indonesia;Indonésia;Indonésia;Indonesia;Indonesia
country.iran;L'Iran;L'Iran;Iran;Iran;Irã;Irã;Irán;Irán
country.iraq;Irak;Irak;Iraq;Iraq;Iraque;Iraque;Irak;Irak
country.ireland;Irlande;Irlande;Ireland;Ireland;Irlanda;Irlanda;Irlanda;Irlanda
country.island;Île;Île;Island;Island;Ilha;Ilha;Isla;Isla
country.israel;Israël;Israël;Israel;Israel;Israel;Israel;Israel;Israel
country.italy;Italie;Italie;Italy;Italy;Itália;Itália;Italia;Italia
country.jamaica;Jamaïque;Jamaïque;Jamaica;Jamaica;Jamaica;Jamaica;Jamaica;Jamaica
country.japan;Japon;Japon;Japan;Japan;Japão;Japão;Japón;Japón
country.jordan;Jordanie;Jordanie;Jordan;Jordan;Jordânia;Jordânia;Jordán;Jordán
country.kazakhstan;Kazakhstan;Kazakhstan;Kazakhstan;Kazakhstan;Cazaquistão;Cazaquistão;Kazajstán;Kazajstán
country.kenya;Kenya;Kenya;Kenya;Kenya;Quênia;Quênia;Kenia;Kenia
country.kyrgyzstan;Kirghizistan;Kirghizistan;Kyrgyzstan;Kyrgyzstan;Quirguistão;Quirguistão;Kirguistán;Kirguistán
country.kiribati;Kiribati;Kiribati;Kiribati;Kiribati;Quiribáti;Quiribáti;Kiribati;Kiribati
country.kuwait;Koweït;Koweït;Kuwait;Kuwait;Kuwait;Kuwait;Kuwait;Kuwait
country.laos;Laos;Laos;Laos;Laos;Laos;Laos;Laos;Laos
country.vatican;Le Vatican;Le Vatican;The Vatican;The Vatican;O Vaticano;O Vaticano;El Vaticano;El Vaticano
country.lesotho;Lesotho;Lesotho;Lesotho;Lesotho;Lesoto;Lesoto;Lesoto;Lesoto
country.latvia;Lettonie;Lettonie;Latvia;Latvia;Letônia;Letônia;Letonia;Letonia
country.lebanon;Liban;Liban;Lebanon;Lebanon;Líbano;Líbano;Líbano;Líbano
country.liberia;Libéria;Libéria;Liberia;Liberia;Libéria;Libéria;Liberia;Liberia
country.libya;Libye;Libye;Libya;Libya;Líbia;Líbia;Libia;Libia
country.liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein
